gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm
"06","과실류","04","복숭아","00","복숭아"
"06","과실류","04","복숭아","01","사자"
"06","과실류","04","복숭아","02","창방"
"06","과실류","04","복숭아","03","월봉"
"06","과실류","04","복숭아","04","대구보"
"06","과실류","04","복숭아","05","백봉"
"06","과실류","04","복숭아","06","도백봉"
"06","과실류","04","복숭아","07","대화백도"
"06","과실류","04","복숭아","08","유명"
"06","과실류","04","복숭아","09","수봉"
"06","과실류","04","복숭아","10","황도"
"06","과실류","04","복숭아","11","백도"
"06","과실류","04","복숭아","12","올금도"
"06","과실류","04","복숭아","13","월미"
"06","과실류","04","복숭아","14","미백"
"06","과실류","04","복숭아","15","한일백도"
"06","과실류","04","복숭아","16","기도백도"
"06","과실류","04","복숭아","17","암킹"
"06","과실류","04","복숭아","18","선광"
"06","과실류","04","복숭아","19","천홍"
"06","과실류","04","복숭아","20","고양백도"
"06","과실류","04","복숭아","21","천중도백도"
"06","과실류","04","복숭아","22","레드골드"
"06","과실류","04","복숭아","23","호기도"
"06","과실류","04","복숭아","24","금도"
"06","과실류","04","복숭아","25","홍이도"
"06","과실류","04","복숭아","26","등낭"
"06","과실류","04","복숭아","27","학도"
"06","과실류","04","복숭아","28","아부백도"
"06","과실류","04","복숭아","29","광산백도"
"06","과실류","04","복숭아","30","선프레"
"06","과실류","04","복숭아","31","선거루"
"06","과실류","04","복숭아","32","기도백도"
"06","과실류","04","복숭아","33","와인버그"
"06","과실류","04","복숭아","34","장호원황도"
"06","과실류","04","복숭아","35","환타지아"
"06","과실류","04","복숭아","36","메이그랜드"
"06","과실류","04","복숭아","37","섬머그랜드"
"06","과실류","04","복숭아","38","토좌"
"06","과실류","04","복숭아","39","네호네백도"
"06","과실류","04","복숭아","40","미시마"
"06","과실류","04","복숭아","41","백미조생"
"06","과실류","04","복숭아","42","백설"
"06","과실류","04","복숭아","43","백향"
"06","과실류","04","복숭아","44","서미골드"
"06","과실류","04","복숭아","45","신백도"
"06","과실류","04","복숭아","46","장택백봉"
"06","과실류","04","복숭아","47","천도"
"06","과실류","04","복숭아","48","히다찌레드"
"06","과실류","04","복숭아","49","홍설도"
"06","과실류","04","복숭아","50","털복숭아"
"06","과실류","04","복숭아","51","오복"
"06","과실류","04","복숭아","52","인용도"
"06","과실류","04","복숭아","53","성백도"
"06","과실류","04","복숭아","54","슈퍼골드"
"06","과실류","04","복숭아","55","가납암"
"06","과실류","04","복숭아","56","왕도"
"06","과실류","04","복숭아","57","경봉"
"06","과실류","04","복숭아","58","천일백도"
"06","과실류","04","복숭아","59","그레이트"
"06","과실류","04","복숭아","60","그레이트점보"
"06","과실류","04","복숭아","61","마도카"
"06","과실류","04","복숭아","62","몽부사"
"06","과실류","04","복숭아","63","용황백도"
"06","과실류","04","복숭아","64","진미"
"06","과실류","04","복숭아","65","단황도"
"06","과실류","04","복숭아","66","복조"
"06","과실류","04","복숭아","67","향수"
"06","과실류","04","복숭아","68","원백도"
"06","과실류","04","복숭아","69","무정조생백봉"
"06","과실류","04","복숭아","70","관도5호"
"06","과실류","04","복숭아","71","공삼"
"06","과실류","04","복숭아","72","가나메"
"06","과실류","04","복숭아","73","개복숭아"
"06","과실류","04","복숭아","74","골드라이트"
"06","과실류","04","복숭아","75","광황도"
"06","과실류","04","복숭아","76","대홍"
"06","과실류","04","복숭아","77","선골드"
"06","과실류","04","복숭아","78","아카사끼"
"06","과실류","04","복숭아","79","엘바백도"
"06","과실류","04","복숭아","80","대명"
"06","과실류","04","복숭아","81","대양"
"06","과실류","04","복숭아","82","넙죽이"
"06","과실류","04","복숭아","83","대옥계"
"06","과실류","04","복숭아","84","대지황도"
"06","과실류","04","복숭아","85","로얄황도"
"06","과실류","04","복숭아","86","만생미백"
"06","과실류","04","복숭아","87","만생백도"
"06","과실류","04","복숭아","88","멍치"
"06","과실류","04","복숭아","89","미황"
"06","과실류","04","복숭아","90","백옥"
"06","과실류","04","복숭아","91","귤조생"
"06","과실류","04","복숭아","92","그린황도"
"06","과실류","04","복숭아","93","금강수밀"
"06","과실류","04","복숭아","94","대경백봉"
"06","과실류","04","복숭아","95","대왕"
"06","과실류","04","복숭아","96","미향"
"06","과실류","04","복숭아","98","산정백도"
"06","과실류","04","복숭아","99","기타복숭아"
"06","과실류","04","복숭아","A1","서광"
"06","과실류","04","복숭아","A2","스프린터"
"06","과실류","04","복숭아","A3","승일백도"
"06","과실류","04","복숭아","A4","신수백도"
"06","과실류","04","복숭아","A5","썬골드"
"06","과실류","04","복숭아","A6","애천중도"
"06","과실류","04","복숭아","A7","영산백도"
"06","과실류","04","복숭아","A8","왕봉"
"06","과실류","04","복숭아","A9","용궁백도"
"06","과실류","04","복숭아","B1","용택골드"
"06","과실류","04","복숭아","B2","이원조생"
"06","과실류","04","복숭아","B3","일천백봉"
"06","과실류","04","복숭아","B4","오월도"
"06","과실류","04","복숭아","B5","올인"
"06","과실류","04","복숭아","B6","찌요마루"
"06","과실류","04","복숭아","B7","상백"
"06","과실류","04","복숭아","B8","수밀도"
"06","과실류","04","복숭아","B9","승도"
"06","과실류","04","복숭아","C1","애지백도"
"06","과실류","04","복숭아","C2","황월"
"06","과실류","04","복숭아","C3","백천황도"
"06","과실류","04","복숭아","C4","성주백도"
"06","과실류","04","복숭아","C5","수홍"
"06","과실류","04","복숭아","C6","원교"
